date_range,source_city_name,brand_name,top_slug,mid_slug,leaf_slug,source_sku_id,sku_description,sku_weight,total_quantity,total_mrp,total_sales
20250801 - 20250810,Allahabad,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40166398,Jivo extra-light-olive-oil 1 L Bottle ,1 L,1.0,1499.0,697.26
20250801 - 20250810,Chandigarh Tricity,Jivo,foodgrains-oil-masala,edible-oils-ghee,soya-mustard-oils,40166395,Jivo cold-press-kachi-ghani-mustard-oil 1 L Bottle ,1 L,25.0,6375.0,5174.11
20250801 - 20250810,DehraDun,Jivo,foodgrains-oil-masala,edible-oils-ghee,soya-mustard-oils,40166395,Jivo cold-press-kachi-ghani-mustard-oil 1 L Bottle ,1 L,4.0,1020.0,1020.0
20250801 - 20250810,Agra,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40166398,Jivo extra-light-olive-oil 1 L Bottle ,1 L,1.0,1499.0,697.3
20250801 - 20250810,Chandigarh Tricity,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40250809,Jivo extra-light-olive-oil-antioxidants-rich-light-cooking-medium-for-frying-grilling 2 L  ,2 L,1.0,2799.0,1386.4
20250801 - 20250810,Bangalore,Jivo,beverages,energy-soft-drinks,soda-cocktail-mix,40335339,Jivo indian-tonic-water 200 ml  ,200 ml,3.0,285.0,209.0
20250801 - 20250810,Pune,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40304418,Jivo cold-pressed-soyabean-oil 1 L Bottle ,1 L,16.0,3600.0,3293.12
20250801 - 20250810,Bhubaneshwar-Cuttack,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40197820,Jivo pomace-olive-oil 1 L  ,1 L,3.0,3147.0,1688.16
20250801 - 20250810,Lucknow Rural,Jivo,foodgrains-oil-masala,edible-oils-ghee,soya-mustard-oils,40166395,Jivo cold-press-kachi-ghani-mustard-oil 1 L Bottle ,1 L,2.0,510.0,431.72
20250801 - 20250810,Allahabad,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40249993,Jivo cold-pressed-sunflower-oil 1 L Bottle ,1 L,8.0,2200.0,1421.16
20250801 - 20250810,Noida,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40249992,Jivo sunflower-oil-cold-pressed-fortified-with-vitamins-a-d-chemical-free 5 L Jar ,5 L,9.0,12150.0,7957.31
20250801 - 20250810,Pune,Jivo,beverages,fruit-juices-drinks,unsweetened-cold-press,40335332,Jivo fizzy-water-flavoured-with-lemon 750 ml  ,750 ml,1.0,60.0,51.0
20250801 - 20250810,Noida,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,282779,Jivo canola-oil-cold-pressed 1 L  ,1 L,41.0,15375.0,11645.76
20250801 - 20250810,Ranchi,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40197820,Jivo pomace-olive-oil 1 L  ,1 L,3.0,3147.0,1687.72
20250801 - 20250810,Allahabad,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40197820,Jivo pomace-olive-oil 1 L  ,1 L,1.0,1049.0,549.54
20250801 - 20250810,Gurgaon,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40250808,Jivo extra-virgin-olive-oil-antioxidants-rich-suitable-for-salads-saute 1 L  ,1 L,13.0,23387.0,13158.21
20250801 - 20250810,Noida Rural,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40166398,Jivo extra-light-olive-oil 1 L Bottle ,1 L,1.0,1499.0,697.27
20250801 - 20250810,Chennai,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40166398,Jivo extra-light-olive-oil 1 L Bottle ,1 L,7.0,10493.0,5206.95
20250801 - 20250810,Gurgaon,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,282780,Jivo canola-oil 5 L Bottle ,5 L,24.0,39600.0,32804.94
20250801 - 20250810,Mumbai,Jivo,beverages,fruit-juices-drinks,juices,40335337,Jivo mojito-healthy-wheatgrass-juice 200 ml  ,200 ml,2.0,100.0,80.0
20250801 - 20250810,Kolkata Rural,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40197820,Jivo pomace-olive-oil 1 L  ,1 L,4.0,4196.0,2250.88
20250801 - 20250810,Mumbai,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40166398,Jivo extra-light-olive-oil 1 L Bottle ,1 L,24.0,35976.0,17852.4
20250801 - 20250810,Nagpur,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,282780,Jivo canola-oil 5 L Bottle ,5 L,2.0,3300.0,3087.3
20250801 - 20250810,Allahabad,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40249992,Jivo sunflower-oil-cold-pressed-fortified-with-vitamins-a-d-chemical-free 5 L Jar ,5 L,1.0,1350.0,888.75
20250801 - 20250810,Gurgaon,Jivo,beverages,energy-soft-drinks,soda-cocktail-mix,40335339,Jivo indian-tonic-water 200 ml  ,200 ml,3.0,285.0,171.0
20250801 - 20250810,Kolkata,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,282779,Jivo canola-oil-cold-pressed 1 L  ,1 L,27.0,10125.0,8505.54
20250801 - 20250810,Visakhapatnam,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,282779,Jivo canola-oil-cold-pressed 1 L  ,1 L,5.0,1875.0,1575.0
20250801 - 20250810,Noida Rural,Jivo,foodgrains-oil-masala,edible-oils-ghee,soya-mustard-oils,40166396,Jivo cold-press-kachi-ghani-mustard-oil 5 L Bottle ,5 L,4.0,5000.0,3689.48
20250801 - 20250810,Kolkata,Jivo,beverages,fruit-juices-drinks,juices,40335335,Jivo blueberry-healthy-wheatgrass-juice 200 ml  ,200 ml,5.0,250.0,250.0
20250801 - 20250810,Kolkata,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40166398,Jivo extra-light-olive-oil 1 L Bottle ,1 L,9.0,13491.0,6674.36
20250801 - 20250810,Pune,Jivo,beverages,fruit-juices-drinks,unsweetened-cold-press,40335331,Jivo mojito-healthy-wheatgrass-juice-sugar-free 200 ml  ,200 ml,1.0,50.0,35.0
20250801 - 20250810,Bangalore,Jivo,beverages,fruit-juices-drinks,juices,40335334,Jivo apple-healthy-wheatgrass-juice 200 ml  ,200 ml,3.0,150.0,110.0
20250801 - 20250810,Lucknow-Kanpur,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40249992,Jivo sunflower-oil-cold-pressed-fortified-with-vitamins-a-d-chemical-free 5 L Jar ,5 L,1.0,1350.0,924.3
20250801 - 20250810,Noida,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40309979,Jivo canola-omega-3-rich-cooking-oil-1-l 1 L Pouch ,1 L,8.0,2392.0,1921.28
20250801 - 20250810,Hyderabad,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,282779,Jivo canola-oil-cold-pressed 1 L  ,1 L,39.0,14625.0,12092.92
20250801 - 20250810,Mumbai,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40197820,Jivo pomace-olive-oil 1 L  ,1 L,10.0,10490.0,5622.7
20250801 - 20250810,Krishna District,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40197820,Jivo pomace-olive-oil 1 L  ,1 L,1.0,1049.0,562.77
20250801 - 20250810,Hyderabad,Jivo,beverages,fruit-juices-drinks,juices,40335335,Jivo blueberry-healthy-wheatgrass-juice 200 ml  ,200 ml,1.0,50.0,50.0
20250801 - 20250810,Noida,Jivo,foodgrains-oil-masala,edible-oils-ghee,soya-mustard-oils,40166395,Jivo cold-press-kachi-ghani-mustard-oil 1 L Bottle ,1 L,63.0,16065.0,13287.3
20250801 - 20250810,Pune,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40166398,Jivo extra-light-olive-oil 1 L Bottle ,1 L,17.0,25483.0,12160.95
20250801 - 20250810,Lucknow Rural,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,282780,Jivo canola-oil 5 L Bottle ,5 L,1.0,1650.0,1411.86
20250801 - 20250810,Kolkata,Jivo,beverages,fruit-juices-drinks,juices,40335336,Jivo mango-healthy-wheatgrass-juice 200 ml  ,200 ml,4.0,200.0,200.0
20250801 - 20250810,Mumbai,Jivo,beverages,fruit-juices-drinks,juices,40335338,Jivo rose-healthy-wheatgrass-juice 200 ml  ,200 ml,2.0,100.0,80.0
20250801 - 20250810,Noida,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40250809,Jivo extra-light-olive-oil-antioxidants-rich-light-cooking-medium-for-frying-grilling 2 L  ,2 L,13.0,36387.0,17466.8
20250801 - 20250810,Gurgaon,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40304418,Jivo cold-pressed-soyabean-oil 1 L Bottle ,1 L,24.0,5400.0,4091.31
20250801 - 20250810,DehraDun,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,282779,Jivo canola-oil-cold-pressed 1 L  ,1 L,3.0,1125.0,1125.0
20250801 - 20250810,Hyderabad Rural,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,282779,Jivo canola-oil-cold-pressed 1 L  ,1 L,1.0,375.0,315.0
20250801 - 20250810,Gurgaon,Jivo,beverages,fruit-juices-drinks,juices,40335337,Jivo mojito-healthy-wheatgrass-juice 200 ml  ,200 ml,4.0,200.0,200.0
20250801 - 20250810,Bangalore,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40166398,Jivo extra-light-olive-oil 1 L Bottle ,1 L,30.0,44970.0,22315.5
20250801 - 20250810,Hyderabad,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,282780,Jivo canola-oil 5 L Bottle ,5 L,5.0,8250.0,7577.1
20250801 - 20250810,Gurgaon,Jivo,foodgrains-oil-masala,edible-oils-ghee,blended-cooking-oils,40317122,Jivo gold-multi-source-edible-oil 5 l  ,5 l,1.0,1050.0,716.81
20250801 - 20250810,Gurgaon,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40309979,Jivo canola-omega-3-rich-cooking-oil-1-l 1 L Pouch ,1 L,19.0,5681.0,4563.22
20250801 - 20250810,Gurgaon,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,282779,Jivo canola-oil-cold-pressed 1 L  ,1 L,125.0,46875.0,35505.0
20250801 - 20250810,Hyderabad,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40309980,Jivo pomace-olive-oil 2 L  ,2 L,6.0,8694.0,6775.44
20250801 - 20250810,Noida,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40197820,Jivo pomace-olive-oil 1 L  ,1 L,37.0,38813.0,20332.28
20250801 - 20250810,Gurgaon,Jivo,beverages,fruit-juices-drinks,juices,40335335,Jivo blueberry-healthy-wheatgrass-juice 200 ml  ,200 ml,8.0,400.0,315.0
20250801 - 20250810,Gurgaon,Jivo,foodgrains-oil-masala,edible-oils-ghee,soya-mustard-oils,40166395,Jivo cold-press-kachi-ghani-mustard-oil 1 L Bottle ,1 L,215.0,54825.0,42683.12
20250801 - 20250810,Noida Rural,Jivo,foodgrains-oil-masala,edible-oils-ghee,soya-mustard-oils,40166395,Jivo cold-press-kachi-ghani-mustard-oil 1 L Bottle ,1 L,5.0,1275.0,1011.54
20250801 - 20250810,Guwahati,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40166398,Jivo extra-light-olive-oil 1 L Bottle ,1 L,1.0,1499.0,714.04
20250801 - 20250810,Pune,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40249993,Jivo cold-pressed-sunflower-oil 1 L Bottle ,1 L,180.0,49500.0,37285.2
20250801 - 20250810,Bangalore Rural,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40249993,Jivo cold-pressed-sunflower-oil 1 L Bottle ,1 L,1.0,275.0,200.79
20250801 - 20250810,Hyderabad,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40304419,Jivo cold-pressed-soyabean-oil 5 L Can ,5 L,4.0,4400.0,3841.06
20250801 - 20250810,Allahabad,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,282779,Jivo canola-oil-cold-pressed 1 L  ,1 L,1.0,375.0,288.64
20250801 - 20250810,Noida Rural,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40250808,Jivo extra-virgin-olive-oil-antioxidants-rich-suitable-for-salads-saute 1 L  ,1 L,1.0,1799.0,1060.56
20250801 - 20250810,Raipur,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40166398,Jivo extra-light-olive-oil 1 L Bottle ,1 L,2.0,2998.0,1487.7
20250801 - 20250810,Hyderabad Rural,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40249993,Jivo cold-pressed-sunflower-oil 1 L Bottle ,1 L,8.0,2200.0,1527.0
20250801 - 20250810,Agra,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40249993,Jivo cold-pressed-sunflower-oil 1 L Bottle ,1 L,2.0,550.0,355.11
20250801 - 20250810,Hyderabad,Jivo,beverages,fruit-juices-drinks,juices,40335334,Jivo apple-healthy-wheatgrass-juice 200 ml  ,200 ml,17.0,850.0,725.0
20250801 - 20250810,Agra,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40197820,Jivo pomace-olive-oil 1 L  ,1 L,2.0,2098.0,1099.04
20250801 - 20250810,Noida,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,282780,Jivo canola-oil 5 L Bottle ,5 L,8.0,13200.0,10934.96
20250801 - 20250810,Visakhapatnam,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,282780,Jivo canola-oil 5 L Bottle ,5 L,1.0,1650.0,1543.65
20250801 - 20250810,Bangalore,Jivo,beverages,fruit-juices-drinks,juices,40335338,Jivo rose-healthy-wheatgrass-juice 200 ml  ,200 ml,5.0,250.0,165.0
20250801 - 20250810,Lucknow-Kanpur,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40197820,Jivo pomace-olive-oil 1 L  ,1 L,5.0,5245.0,2747.66
20250801 - 20250810,Hyderabad,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40166398,Jivo extra-light-olive-oil 1 L Bottle ,1 L,17.0,25483.0,12645.45
20250801 - 20250810,Mumbai,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,282780,Jivo canola-oil 5 L Bottle ,5 L,6.0,9900.0,9144.6
20250801 - 20250810,Noida Rural,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,282780,Jivo canola-oil 5 L Bottle ,5 L,3.0,4950.0,4100.6
20250801 - 20250810,Nagpur Rural,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40249993,Jivo cold-pressed-sunflower-oil 1 L Bottle ,1 L,2.0,550.0,436.9
20250801 - 20250810,Coimbatore,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40249993,Jivo cold-pressed-sunflower-oil 1 L Bottle ,1 L,1.0,275.0,217.73
20250801 - 20250810,Hyderabad,Jivo,beverages,fruit-juices-drinks,juices,40335338,Jivo rose-healthy-wheatgrass-juice 200 ml  ,200 ml,9.0,450.0,390.0
20250801 - 20250810,Gurgaon,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40250809,Jivo extra-light-olive-oil-antioxidants-rich-light-cooking-medium-for-frying-grilling 2 L  ,2 L,13.0,36387.0,17466.54
20250801 - 20250810,Vijayawada-Guntur,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40304418,Jivo cold-pressed-soyabean-oil 1 L Bottle ,1 L,2.0,450.0,425.86
20250801 - 20250810,Hyderabad Rural,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40197821,Jivo pomace-olive-oil 5 L  ,5 L,1.0,4999.0,2692.3
20250801 - 20250810,Mumbai,Jivo,beverages,fruit-juices-drinks,juices,40335336,Jivo mango-healthy-wheatgrass-juice 200 ml  ,200 ml,4.0,200.0,180.0
20250801 - 20250810,Mumbai,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,282779,Jivo canola-oil-cold-pressed 1 L  ,1 L,38.0,14250.0,11838.25
20250801 - 20250810,Gurgaon,Jivo,foodgrains-oil-masala,edible-oils-ghee,soya-mustard-oils,40166396,Jivo cold-press-kachi-ghani-mustard-oil 5 L Bottle ,5 L,27.0,33810.0,25576.18
20250801 - 20250810,Patna,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40166398,Jivo extra-light-olive-oil 1 L Bottle ,1 L,3.0,4497.0,2231.55
20250801 - 20250810,DehraDun,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,282780,Jivo canola-oil 5 L Bottle ,5 L,1.0,1650.0,1650.0
20250801 - 20250810,Bangalore,Jivo,beverages,fruit-juices-drinks,unsweetened-cold-press,40335331,Jivo mojito-healthy-wheatgrass-juice-sugar-free 200 ml  ,200 ml,1.0,50.0,50.0
20250801 - 20250810,Lucknow-Kanpur,Jivo,foodgrains-oil-masala,edible-oils-ghee,soya-mustard-oils,40166396,Jivo cold-press-kachi-ghani-mustard-oil 5 L Bottle ,5 L,4.0,5000.0,3857.32
20250801 - 20250810,Hyderabad,Jivo,foodgrains-oil-masala,edible-oils-ghee,olive-canola-oils,40197821,Jivo pomace-olive-oil 5 L  ,5 L,2.0,9998.0,5384.6
20250801 - 20250810,Noida,Jivo,beverages,fruit-juices-drinks,juices,40335334,Jivo apple-healthy-wheatgrass-juice 200 ml  ,200 ml,1.0,50.0,42.5
20250801 - 20250810,Chandigarh Tricity,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40304418,Jivo cold-pressed-soyabean-oil 1 L Bottle ,1 L,13.0,2925.0,2182.68
20250801 - 20250810,Bangalore,Jivo,beverages,fruit-juices-drinks,unsweetened-cold-press,40335330,Jivo ginger-ale-healthy-wheatgrass-juice-sugar-free 200 ml  ,200 ml,1.0,50.0,30.0
20250801 - 20250810,Hyderabad,Jivo,beverages,fruit-juices-drinks,juices,40335336,Jivo mango-healthy-wheatgrass-juice 200 ml  ,200 ml,15.0,750.0,635.0
20250801 - 20250810,Lucknow-Kanpur,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40249993,Jivo cold-pressed-sunflower-oil 1 L Bottle ,1 L,17.0,4675.0,2968.33
20250801 - 20250810,DehraDun,Jivo,foodgrains-oil-masala,edible-oils-ghee,cold-pressed-oil,40249993,Jivo cold-pressed-sunflower-oil 1 L Bottle ,1 L,2.0,550.0,550.0
20250801 - 20250810,Noida,Jivo,beverages,fruit-juices-drinks,juices,40335338,Jivo rose-healthy-wheatgrass-juice 200 ml  ,200 ml,4.0,200.0,185.0
20250801 - 20250810,Allahabad,Jivo,foodgrains-oil-masala,edible-oils-ghee,soya-mustard-oils,40166396,Jivo cold-press-kachi-ghani-mustard-oil 5 L Bottle ,5 L,2.0,2500.0,1962.24
