RFC ID,RFC Name,SKU ID,Title,Category,Product Status,Last updated at,TOTAL_SELLABLE_INV,TOTAL_UNSELLABLE_INV,FC_DMG_INV,LSP_DMG_INV,CUST_DMG_INV,RECVD_DMG,EXPIRED_INV,OTHER_UNSELLABLE_INV,MTD_FWD_INTRANSIT,MTD_DELVD_CUST,MTD_RET_INTRANSIT,MTD_ORDER_COUNT
RFC0VIHAX01,RRL HR JHJ Luhari 3P RFC,RVMGQM8OIG,Jivo Extra Light Olive Oil 2 Ltr,Edible Oils,Active,2025-08-11 15:00:08,373,3,1,2,0,0,0,0,7,8,0,17
RFC0VIHAX01,RRL HR JHJ Luhari 3P RFC,RVEAVUBXQU,Jivo Cold Pressed Sunflower Oil  5 Ltr - Chemical free,Edible Oils,Active,2025-08-11 15:00:08,585,77,6,58,0,13,0,0,30,29,2,61
RFC0VIHAX01,RRL HR JHJ Luhari 3P RFC,RVO2FDFNG7,"Jivo Canola Cold Press Oil, 5 Ltr Healthiest Cooking Oil (Pack of 1)",Edible Oils,Active,2025-08-11 15:00:08,495,41,4,32,0,5,0,0,21,31,1,72
RFC0VIHAX01,RRL HR JHJ Luhari 3P RFC,RVGZYVLL7S,JIVO Pomace Cooking Olive Oil 2L Olive Oil Plastic Bottle  (2 L),Edible Oils,Active,2025-08-11 15:00:08,0,0,0,0,0,0,0,0,0,0,0,0
RFC0VIHAX01,RRL HR JHJ Luhari 3P RFC,RVDKAJUB81,Jivo Gold Refined Oil Blend of Rice Bran oil & Sunflower oil 5 litre,Edible Oils,Active,2025-08-11 15:00:08,483,13,0,13,0,0,0,0,10,14,0,32
RFC0VIHAX01,RRL HR JHJ Luhari 3P RFC,RVHTZGHDWZ,Jivo Cold Pressed oil Groundnut Oil - 5 Litre | Peanut Oil |Natural Cooking Oil | Chemical Free,Edible Oils,Active,2025-08-11 15:00:08,683,46,2,40,0,4,0,0,12,28,5,52
RFC0VIHAX01,RRL HR JHJ Luhari 3P RFC,RV4IM96PIO,Jivo Cold Pressed Kachi Ghani Pure Mustard Oil 5 Litre,Edible Oils,Active,2025-08-11 15:00:08,96,52,9,43,0,0,0,0,165,238,20,456
RFC0VIHAX01,RRL HR JHJ Luhari 3P RFC,RVOTWRFQAD,"Jivo Extra Virgin Olive Oil, 1L for Dressings, Salad and Soups, Dips & Marinades.",Edible Oils,Active,2025-08-11 15:00:08,227,13,3,8,0,2,0,0,26,43,1,66
RFC0VIHAX01,RRL HR JHJ Luhari 3P RFC,RVXEKUSOGS,Jivo Extra Light Oilve Oil 1 liter,Edible Oils,Active,2025-08-11 15:00:08,143,11,3,8,0,0,0,0,0,1,0,2
RFC0VIHAX01,RRL HR JHJ Luhari 3P RFC,RVFTRJFOO9,"Sano Sunflower Oil 5 Ltr Pet Bottle - Pure, Nutrient-Rich Cooking Oil with High Smoke Point",Edible Oils,Active,2025-08-11 15:00:08,896,0,0,0,0,0,0,0,8,10,0,20
RFC0VIHAX01,RRL HR JHJ Luhari 3P RFC,RVQ1YJHMCB,Jivo Pomace Olive Oil 1 Litre,Edible Oils,Active,2025-08-11 15:00:08,443,12,1,6,0,5,0,0,2,6,0,8
RFC0VIHAX01,RRL HR JHJ Luhari 3P RFC,RVRV3G08OQ,Jivo Pomace Olive Oil 2 Ltr (Bottle),Edible Oils,Active,2025-08-11 15:00:08,581,2,1,0,0,1,0,0,0,6,0,7
RFC0VIHAX01,RRL HR JHJ Luhari 3P RFC,RVALLKLSCV,JIVO PREMIUM QUALITY DESI GHEE 1- KG NATURAL IN COLOR AND GREAT IN TASTE WITH THE GOODNESS OF VITAMIN - A,Ghee,Active,2025-08-11 15:00:08,0,184,1,56,0,0,127,0,0,0,0,1
RFC0VIHAX01,RRL HR JHJ Luhari 3P RFC,RVKPTFL8V9,JIVO PREMIUM QUALITY DESI GHEE 500-GM NATURAL IN COLOR AND GREAT IN TASTE WITH THE GOODNESS OF VITAMIN - A,Ghee,Active,2025-08-11 15:00:08,0,16,0,2,0,11,3,0,0,0,0,0
RFC0VIHAX01,RRL HR JHJ Luhari 3P RFC,RV8NOUPPFF,"Jivo Olive Oil Extra Light Daily Cooking 5 Litre (TIN) | Recommendable for Roasting, Frying, Baking All type of Cuisines| Low Saturated Fat, Low Saturated Fat",Edible Oils,Active,2025-08-11 15:00:08,418,4,0,4,0,0,0,0,3,7,0,14
RFC0VIHAX01,RRL HR JHJ Luhari 3P RFC,RV3NY3IYJO,"Jivo Pomace Cooking Edible Olive Oil 5 Litre Tin | Recommendable for Roasting, Frying, Baking All type of Cuisines| Healthy Cooking Oil for Daily use (Pack of 1)",Edible Oils,Active,2025-08-11 15:00:08,1284,24,0,24,0,0,0,0,3,5,0,10
RFC0VIHAX01,RRL HR JHJ Luhari 3P RFC,RVZRPYIVHS,JIVO Soyabean Cooking Oil 5 Ltr (Pack of 1),Edible Oils,Active,2025-08-11 15:00:08,789,1,0,1,0,0,0,0,3,5,0,12
RFC0VIHAX01,RRL HR JHJ Luhari 3P RFC,RVJJJLAWFK,"Jivo Extra Virgin Olive Oil 5 litre | Contains Vitamin E | Low in Saturated Fat | Natural and Cold Pressed Cooking Oil, for Dressings, Salad and Soups, Dips & Marinades (Pack of 1-5L Tin)",Edible Oils,Active,2025-08-11 15:00:08,439,3,0,3,0,0,0,0,0,0,0,1
RFC0VIHAX01,RRL HR JHJ Luhari 3P RFC,RVAWIKYEAS,Jivo So-Olive Oil - 5 litre | Blend Of Rice Bran Oil And Olive Oil | Healthy Lifestyle Edible Cooking Oil with Goodness of Olive Oil,Edible Oils,Active,2025-08-11 15:00:08,4,0,0,0,0,0,0,0,0,0,0,0
