StorageType,FacilityName,City,SkuCode,SkuDescription,L1,L2,ShelfLifeDays,BusinessCategory,DaysOnHand,PotentialGmvLoss,OpenPos,OpenPoQuantity,WarehouseQtyAvailable
Ambient,BLR IM1,BANGALORE,570572,Jivo Desi Ghee 1KG 1.0 kg,Edible Oils and Ghee,Ghee,244,Cooking Essentials,167,5561.29,"[MBIPO225691"",""MBIPO220772]",30,89
Ambient,LKO IM1,LUCKNOW,60711,Jivo Cold Press Kachi Ghani Mustard Oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,6961.5,"[LKOPO110336"",""LKOPO111502"",""LKOPO113149"",""LKOPO111062]",100,0
Ambient,HYD IM1,HYDERABAD,83633,Jivo Cold Pressed Chemical Free Sunflower Oil 1.0 L,Edible Oils and Ghee,Edible Oils,720,Cooking Essentials,90,2483.25,[CHMPO177357],260,117
Ambient,HYD IM1,HYDERABAD,88218,Jivo Pomace Daily Cooking Olive Oil 2.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,12,16634.52,"[CHMPO176144"",""CHMPO177357]",19,20
Ambient,KOL IM2,KOLKATA,401502,Jivo Cold Pressed oil Groundnut Oil 5.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,365,0,[],0,0
Ambient,DLHY GGNFC9,DELHI,79292,JIVO POMACE OLIVE OIL 5.00 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,80133.97,[GGNPO204916],36,0
Ambient,PUN DELHIVERY,PUNE,88218,Jivo Pomace Daily Cooking Olive Oil 2.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,8,7100.1,[],0,6
Ambient,PUNE IM2 TEMP,PUNE,83633,Jivo Cold Pressed Chemical Free Sunflower Oil 1.0 L,Edible Oils and Ghee,Edible Oils,720,Cooking Essentials,365,0,[],0,0
Ambient,PUN DELHIVERY,PUNE,15685,Jivo Canola Cold Press Edible Oil 1.0 ltr,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,36,10946.25,[],0,152
Ambient,KOC IM1,KOCHI,401502,Jivo Cold Pressed oil Groundnut Oil 5.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,3724,[],0,0
Ambient,CBE ECOM,COIMBATORE,968589,JIVO SO OLIVE OIL 1L 1.00 LTR,Edible Oils and Ghee,Olive Oil,730,Cooking Essentials,0,3185,"[JCEPO117001"",""JCEPO119305"",""JCEPO118409]",112,0
Ambient,MUM IM1,MUMBAI,429981,Jivo Gold Refined Oil - Blend of Rice Bran oil & Sunflower oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,365,0,[],0,0
Ambient,HYD IM2,HYDERABAD,390730,Jivo Cold Pressed oil Groundnut Oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,91806.4,"[CHCPO211193"",""CHCPO213453"",""CHCPO207726"",""CHCPO211738]",480,20
Ambient,KOC IM1,KOCHI,83633,Jivo Cold Pressed Chemical Free Sunflower Oil 1.0 L,Edible Oils and Ghee,Edible Oils,720,Cooking Essentials,0,20886.25,"[KOCPO26020"",""KOCPO30474"",""KOCPO31393"",""KOCPO28625"",""KOCPO32943"",""KOCPO29553]",259,2
Ambient,CBE ECOM,COIMBATORE,685793,Jivo Cold Pressed Chemical Free Sunflower Oil 5.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,3402,[],0,0
Ambient,GOA IM1,CENTRAL GOA,88218,Jivo Pomace Daily Cooking Olive Oil 2.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,3304.35,[GCAPO02864],4,0
Ambient,HYD IM1,HYDERABAD,766072,JIVO RICEBRAN OIL 5L 5.00 LTRS,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,36,6583.5,[],0,24
Ambient,PUN DELHIVERY,PUNE,390730,Jivo Cold Pressed oil Groundnut Oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,19,30223.2,[CPDPO168089],32,152
Ambient,KOLKATA ECOM,KOLKATA,240878,Jivo Extra Virgin Olive Oil 250.0 ml,Edible Oils and Ghee,Olive Oil,730,Non Food,65,2677.5,[],0,56
Ambient,DLHY GGNFC9,DELHI,968589,JIVO SO OLIVE OIL 1L 1.00 LTR,Edible Oils and Ghee,Olive Oil,730,Cooking Essentials,5,20179.25,[GGNPO203883],16,53
Ambient,CHD ECOM,CHANDIGARH,83633,Jivo Cold Pressed Chemical Free Sunflower Oil 1.0 L,Edible Oils and Ghee,Edible Oils,720,Cooking Essentials,3,21175,"[PCHPO129739"",""PCHPO129030"",""PCHPO128212"",""PCHPO125571"",""PCHPO126390]",224,40
Ambient,MUM IM3,MUMBAI,15685,Jivo Canola Cold Press Edible Oil 1.0 ltr,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,365,0,[],0,0
Ambient,AHM DELHIVERY,AHMEDABAD,390730,Jivo Cold Pressed oil Groundnut Oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,9,27675.2,"[CADPO135850"",""CADPO136583]",64,68
Ambient,MUM IM1,MUMBAI,67229,EXTRA VIRGIN OLIVE OIL 1.00 LTR,Edible Oils and Ghee,Olive Oil,720,Cooking Essentials,365,0,[],0,0
Ambient,BLR IM1,BANGALORE,390730,Jivo Cold Pressed oil Groundnut Oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,10,42532,"[MBIPO226421"",""MBIPO228099"",""MBIPO225691]",128,111
Ambient,HYD IM1,HYDERABAD,968589,JIVO SO OLIVE OIL 1L 1.00 LTR,Edible Oils and Ghee,Olive Oil,730,Cooking Essentials,3,8190,"[CHMPO178367"",""CHMPO177357"",""CHMPO179458]",80,13
Ambient,BLR ECOM2,BANGALORE,15687,Jivo Extra Light Daily Cooking Olive Oil 1.0 ltr,Edible Oils and Ghee,Olive Oil,730,Cooking Essentials,4,240814.34,"[MBLPO253797"",""MBLPO251133"",""MBLPO254598"",""MBLPO252370]",416,114
Ambient,BLR ECOM2,BANGALORE,390730,Jivo Cold Pressed oil Groundnut Oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,17,74715.2,"[MBLPO251133"",""MBLPO254598"",""MBLPO256004"",""MBLPO252370]",112,326
Ambient,DLHY GGNFC9,DELHI,60711,Jivo Cold Press Kachi Ghani Mustard Oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,42893.55,"[GGNPO206489"",""GGNPO203883"",""GGNPO204916]",300,1
Ambient,CHN ECOM,CHENNAI,79292,JIVO POMACE OLIVE OIL 5.00 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,5598.88,[],0,0
Ambient,KOC IM1,KOCHI,390730,Jivo Cold Pressed oil Groundnut Oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,10858.4,"[KOCPO30474"",""KOCPO29553"",""KOCPO32022"",""KOCPO28625]",80,0
Ambient,CHN ECOM,CHENNAI,968589,JIVO SO OLIVE OIL 1L 1.00 LTR,Edible Oils and Ghee,Olive Oil,730,Cooking Essentials,0,15379,"[JCNPO170927"",""JCNPO171907"",""JCNPO174857"",""JCNPO173907"",""JCNPO176197]",160,0
Ambient,KOL IM2,KOLKATA,21709,Jivo Daily Cooking Pomace Olive Oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,365,0,[KWBPO15921],128,37
Ambient,MUM FC22,MUMBAI,240878,Jivo Extra Virgin Olive Oil 250.0 ml,Edible Oils and Ghee,Olive Oil,730,Non Food,22,283.5,[],0,2
Ambient,MUM IM3,MUMBAI,390730,Jivo Cold Pressed oil Groundnut Oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,365,0,[],0,0
Ambient,DLHY GGNFC5,GURGAON,333818,Jivo SO OLive Oil 5L 5.0 ltr,Edible Oils and Ghee,Olive Oil,730,Cooking Essentials,37,2730,[FC5PO215588],24,9
Ambient,CBE ECOM,COIMBATORE,429981,Jivo Gold Refined Oil - Blend of Rice Bran oil & Sunflower oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,12899.25,[JCEPO117001],1040,1
Ambient,HYD IM2,HYDERABAD,685793,Jivo Cold Pressed Chemical Free Sunflower Oil 5.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,15687,[],0,0
Ambient,BLR IM1,BANGALORE,968589,JIVO SO OLIVE OIL 1L 1.00 LTR,Edible Oils and Ghee,Olive Oil,730,Cooking Essentials,1,7848.75,"[MBIPO228099"",""MBIPO222661"",""MBIPO225691]",80,6
Ambient,CHN ECOM,CHENNAI,766072,JIVO RICEBRAN OIL 5L 5.00 LTRS,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,4389,[],0,0
Ambient,LKO IM1,LUCKNOW,79292,JIVO POMACE OLIVE OIL 5.00 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,3,9448.11,[],0,1
Ambient,PUNE IM2 TEMP,PUNE,15686,JIVO CANOLA COLD PRESS OIL INDIAN MEDICAL ASSOCIATION RECOMMENDED 5.00 L,Edible Oils and Ghee,Edible Oils,700,Cooking Essentials,365,0,[],0,3
Ambient,AHM DELHIVERY,AHMEDABAD,21709,Jivo Daily Cooking Pomace Olive Oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,10,48757.52,"[CADPO136583"",""CADPO135850]",96,71
Ambient,BLR ECOM2,BANGALORE,60711,Jivo Cold Press Kachi Ghani Mustard Oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,1,36949.5,"[MBLPO253797"",""MBLPO252370"",""MBLPO254598"",""MBLPO249728"",""MBLPO256004]",460,25
Ambient,LKO IM1,LUCKNOW,685793,Jivo Cold Pressed Chemical Free Sunflower Oil 5.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,8316,[],0,0
Ambient,AHM DELHIVERY,AHMEDABAD,60711,Jivo Cold Press Kachi Ghani Mustard Oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,18,11995.2,"[CADPO136583"",""CADPO135850]",60,121
Ambient,CHN ECOM,CHENNAI,15685,Jivo Canola Cold Press Edible Oil 1.0 ltr,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,5,7035,[],0,16
Ambient,MUM FC22,MUMBAI,333818,Jivo SO OLive Oil 5L 5.0 ltr,Edible Oils and Ghee,Olive Oil,730,Cooking Essentials,148,2843.75,[],0,37
Ambient,AMDTEMP,AHMEDABAD,401502,Jivo Cold Pressed oil Groundnut Oil 5.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,365,0,[],0,0
Ambient,HYD IM2,HYDERABAD,615911,Jivo Gold Refined Oil - Blend of Rice Bran oil & Sunflower oil 5.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,20,13230,[],0,37
Ambient,CHD ECOM,CHANDIGARH,390730,Jivo Cold Pressed oil Groundnut Oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,4,32379.2,"[PCHPO129030"",""PCHPO128212"",""PCHPO126390]",96,41
Ambient,CBE ECOM,COIMBATORE,401502,Jivo Cold Pressed oil Groundnut Oil 5.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,22736,[],0,0
Ambient,KOC IM1,KOCHI,21709,Jivo Daily Cooking Pomace Olive Oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,31942.05,"[KOCPO28625"",""KOCPO29553"",""KOCPO32943]",96,3
Ambient,MUM IM3,MUMBAI,79292,JIVO POMACE OLIVE OIL 5.00 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,365,0,[],0,0
Ambient,KOLKATA ECOM,KOLKATA,88218,Jivo Pomace Daily Cooking Olive Oil 2.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,12983.04,[],0,0
Ambient,AHM DELHIVERY,AHMEDABAD,15687,Jivo Extra Light Daily Cooking Olive Oil 1.0 ltr,Edible Oils and Ghee,Olive Oil,730,Cooking Essentials,9,40922.7,[CADPO136583],64,37
Ambient,KOLKATA ECOM,KOLKATA,21709,Jivo Daily Cooking Pomace Olive Oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,97882.19,[],0,0
Ambient,GOA IM1,CENTRAL GOA,83633,Jivo Cold Pressed Chemical Free Sunflower Oil 1.0 L,Edible Oils and Ghee,Edible Oils,720,Cooking Essentials,8,11973.5,"[GCAPO04978"",""GCAPO04376"",""GCAPO04135"",""GCAPO02864"",""GCAPO03235"",""GCAPO03848]",103,54
Ambient,HYD IM2,HYDERABAD,15687,Jivo Extra Light Daily Cooking Olive Oil 1.0 ltr,Edible Oils and Ghee,Olive Oil,730,Cooking Essentials,0,135779.42,"[CHCPO211193"",""CHCPO207726"",""CHCPO211738]",240,5
Ambient,KOL IM2,KOLKATA,88218,Jivo Pomace Daily Cooking Olive Oil 2.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,365,0,[],0,0
Ambient,AHM DELHIVERY,AHMEDABAD,449236,Jivo Extra Light Olive Oil 2.0 L,Edible Oils and Ghee,Olive Oil,730,Cooking Essentials,1,11168.01,[],0,1
Ambient,HYD IM1,HYDERABAD,15687,Jivo Extra Light Daily Cooking Olive Oil 1.0 ltr,Edible Oils and Ghee,Olive Oil,730,Cooking Essentials,6,74290.44,"[CHMPO178057"",""CHMPO178367]",80,44
Ambient,HYD IM2,HYDERABAD,401502,Jivo Cold Pressed oil Groundnut Oil 5.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,149352,"[CHCPO209307"",""CHCPO210391"",""CHCPO213453"",""CHCPO206519"",""CHCPO207726"",""CHCPO211738]",144,2
Ambient,DLHY GGNFC9,DELHI,390730,Jivo Cold Pressed oil Groundnut Oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,31791.2,[GGNPO204916],32,0
Ambient,HYD IM2,HYDERABAD,15685,Jivo Canola Cold Press Edible Oil 1.0 ltr,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,1,21236.25,"[CHCPO210391"",""CHCPO213453"",""CHCPO211738]",140,9
Ambient,AHM DELHIVERY,AHMEDABAD,615911,Jivo Gold Refined Oil - Blend of Rice Bran oil & Sunflower oil 5.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,2,6247.5,[],0,2
Ambient,DLHY GGNFC9,DELHI,15685,Jivo Canola Cold Press Edible Oil 1.0 ltr,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,8,47433.75,[GGNPO204916],120,162
Ambient,BLR IM1,BANGALORE,88218,Jivo Pomace Daily Cooking Olive Oil 2.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,2,21503.16,[],0,5
Ambient,PUN DELHIVERY,PUNE,60711,Jivo Cold Press Kachi Ghani Mustard Oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,20,13387.5,[CPDPO168089],20,155
Ambient,CHN ECOM,CHENNAI,958164,JIVO RICEBRAN OIL 1L 1.00 LTR,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,1436.4,[],0,0
Ambient,AHM DELHIVERY,AHMEDABAD,83633,Jivo Cold Pressed Chemical Free Sunflower Oil 1.0 L,Edible Oils and Ghee,Edible Oils,720,Cooking Essentials,0,8874.25,"[CADPO133583"",""CADPO134906"",""CADPO134369"",""CADPO135580]",102,2
Ambient,PUNE IM2 TEMP,PUNE,21709,Jivo Daily Cooking Pomace Olive Oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,365,0,[],0,0
Ambient,HYD IM2,HYDERABAD,333818,Jivo SO OLive Oil 5L 5.0 ltr,Edible Oils and Ghee,Olive Oil,730,Cooking Essentials,200,2502.5,[CHCPO209307],8,44
Ambient,BLR IM1,BANGALORE,401502,Jivo Cold Pressed oil Groundnut Oil 5.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,100548,"[MBIPO220772"",""MBIPO226421"",""MBIPO225951"",""MBIPO222661]",104,0
Ambient,BLR IM1,BANGALORE,15685,Jivo Canola Cold Press Edible Oil 1.0 ltr,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,16878.75,"[MBIPO226421"",""MBIPO223753"",""MBIPO225691"",""MBIPO228099"",""MBIPO222661]",140,1
Ambient,PUN DELHIVERY,PUNE,15686,JIVO CANOLA COLD PRESS OIL INDIAN MEDICAL ASSOCIATION RECOMMENDED 5.00 L,Edible Oils and Ghee,Edible Oils,700,Cooking Essentials,17,9817.5,[],0,15
Ambient,DLHY GGNFC5,GURGAON,60711,Jivo Cold Press Kachi Ghani Mustard Oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,45606.75,[],0,6
Ambient,MUM IM3,MUMBAI,333818,Jivo SO OLive Oil 5L 5.0 ltr,Edible Oils and Ghee,Olive Oil,730,Cooking Essentials,365,0,[],0,0
Ambient,MUM IM1,MUMBAI,390730,Jivo Cold Pressed oil Groundnut Oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,365,0,[],0,0
Ambient,HYD IM2,HYDERABAD,67229,EXTRA VIRGIN OLIVE OIL 1.00 LTR,Edible Oils and Ghee,Olive Oil,720,Cooking Essentials,21,20904.38,[],0,36
Ambient,BLR ECOM2,BANGALORE,21709,Jivo Daily Cooking Pomace Olive Oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,19,119544.04,"[MBLPO256004"",""MBLPO251133"",""MBLPO254071]",112,317
Ambient,KOL IM2,KOLKATA,95788,Jivo Extra Light Edible Olive Oil Ideal for Everyday Indian Cooking 5.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,365,0,[],0,0
Ambient,DLHY GGNFC5,GURGAON,15687,Jivo Extra Light Daily Cooking Olive Oil 1.0 ltr,Edible Oils and Ghee,Olive Oil,730,Cooking Essentials,9,348892.25,"[FC5PO215588"",""FC5PO216567]",128,316
Ambient,CBE ECOM,COIMBATORE,79292,JIVO POMACE OLIVE OIL 5.00 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,5598.88,[],0,0
Ambient,HYD IM1,HYDERABAD,60711,Jivo Cold Press Kachi Ghani Mustard Oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,11,5544,"[CHMPO174140"",""CHMPO175429]",60,41
Ambient,CBE ECOM,COIMBATORE,15687,Jivo Extra Light Daily Cooking Olive Oil 1.0 ltr,Edible Oils and Ghee,Olive Oil,730,Cooking Essentials,0,22455.02,"[JCEPO118409"",""JCEPO117001"",""JCEPO119590]",64,0
Ambient,MUM FC22,MUMBAI,79292,JIVO POMACE OLIVE OIL 5.00 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,59,15396.92,[],0,26
Ambient,MUM FC22,MUMBAI,83633,Jivo Cold Pressed Chemical Free Sunflower Oil 1.0 L,Edible Oils and Ghee,Edible Oils,720,Cooking Essentials,7,45834.25,"[CMFPO201401"",""CMFPO201856"",""CMFPO199668]",437,182
Ambient,HYD IM1,HYDERABAD,401502,Jivo Cold Pressed oil Groundnut Oil 5.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,8,79576,"[CHMPO175429"",""CHMPO178367"",""CHMPO179458"",""CHMPO176144"",""CHMPO174140]",76,34
Ambient,HYD IM2,HYDERABAD,15686,JIVO CANOLA COLD PRESS OIL INDIAN MEDICAL ASSOCIATION RECOMMENDED 5.00 L,Edible Oils and Ghee,Edible Oils,700,Cooking Essentials,0,6814.5,[],0,0
Ambient,DLHY GGNFC9,DELHI,429981,Jivo Gold Refined Oil - Blend of Rice Bran oil & Sunflower oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,4,98736.75,[],0,280
Ambient,AHM DELHIVERY,AHMEDABAD,15686,JIVO CANOLA COLD PRESS OIL INDIAN MEDICAL ASSOCIATION RECOMMENDED 5.00 L,Edible Oils and Ghee,Edible Oils,700,Cooking Essentials,11,5197.5,[],0,5
Ambient,BLR IM1,BANGALORE,67229,EXTRA VIRGIN OLIVE OIL 1.00 LTR,Edible Oils and Ghee,Olive Oil,720,Cooking Essentials,0,14230.09,[],0,0
Ambient,MUM FC22,MUMBAI,15687,Jivo Extra Light Daily Cooking Olive Oil 1.0 ltr,Edible Oils and Ghee,Olive Oil,730,Cooking Essentials,11,266417.28,[CMFPO201401],176,282
Ambient,CHD ECOM,CHANDIGARH,88218,Jivo Pomace Daily Cooking Olive Oil 2.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,1,11664.45,[],0,2
Ambient,MUM IM1,MUMBAI,15685,Jivo Canola Cold Press Edible Oil 1.0 ltr,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,365,0,[],0,0
Ambient,DLHY GGNFC9,DELHI,240878,Jivo Extra Virgin Olive Oil 250.0 ml,Edible Oils and Ghee,Olive Oil,730,Cooking Essentials,129,2362.5,[],0,97
Ambient,CBE ECOM,COIMBATORE,60711,Jivo Cold Press Kachi Ghani Mustard Oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,3462.9,"[JCEPO119590"",""JCEPO119305]",120,0
Ambient,GOA IM1,CENTRAL GOA,615911,Jivo Gold Refined Oil - Blend of Rice Bran oil & Sunflower oil 5.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,42,514.5,"[GCAPO03235"",""GCAPO02864]",24,3
Ambient,CHN ECOM,CHENNAI,60711,Jivo Cold Press Kachi Ghani Mustard Oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,11227.65,"[JCNPO172860"",""JCNPO174857"",""JCNPO173907]",120,0
Ambient,CHD ECOM,CHANDIGARH,88218,Jivo Pomace Daily Cooking Olive Oil 2.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,1,11664.45,[],0,2
Ambient,MUM IM1,MUMBAI,15685,Jivo Canola Cold Press Edible Oil 1.0 ltr,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,365,0,[],0,0
Ambient,PUN DELHIVERY,PUNE,15687,Jivo Extra Light Daily Cooking Olive Oil 1.0 ltr,Edible Oils and Ghee,Olive Oil,730,Cooking Essentials,14,66630.55,"[CPDPO169126"",""CPDPO168089]",80,90
Ambient,DLHY GGNFC9,DELHI,333818,Jivo SO OLive Oil 5L 5.0 ltr,Edible Oils and Ghee,Olive Oil,730,Cooking Essentials,0,1066.45,[],0,0
Ambient,GOA IM1,CENTRAL GOA,429981,Jivo Gold Refined Oil - Blend of Rice Bran oil & Sunflower oil 1.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,16,13749.75,"[GCAPO03848"",""GCAPO04978]",40,146
Ambient,MUM IM1,MUMBAI,401502,Jivo Cold Pressed oil Groundnut Oil 5.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,365,0,[],0,0
Ambient,KOLKATA ECOM,KOLKATA,904426,JIVO COLD PRESSED MUSTARD OIL 5L 5.00 LTRS,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,1312.5,[],0,0
Ambient,CBE ECOM,COIMBATORE,615911,Jivo Gold Refined Oil - Blend of Rice Bran oil & Sunflower oil 5.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,10143,"[JCEPO117001"",""JCEPO116689"",""JCEPO118024"",""JCEPO118409]",36,0
Ambient,CHD ECOM,CHANDIGARH,904426,JIVO COLD PRESSED MUSTARD OIL 5L 5.00 LTRS,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,9,30537.5,"[PCHPO126390"",""PCHPO125571]",24,34
Ambient,MUM FC22,MUMBAI,968589,JIVO SO OLIVE OIL 1L 1.00 LTR,Edible Oils and Ghee,Olive Oil,730,Cooking Essentials,6,22249.5,"[CMFPO201856"",""CMFPO199668"",""CMFPO201401]",64,63
Ambient,BLR IM1,BANGALORE,615911,Jivo Gold Refined Oil - Blend of Rice Bran oil & Sunflower oil 5.0 L,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,5365.5,"[MBIPO220772"",""MBIPO222661]",24,0
Ambient,CHD IMFC2_TEMP,PATIALA,958164,JIVO RICEBRAN OIL 1L 1.00 LTR,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,365,0,[],0,1
Ambient,DLHY GGNFC9,DELHI,958164,JIVO RICEBRAN OIL 1L 1.00 LTR,Edible Oils and Ghee,Edible Oils,730,Cooking Essentials,0,26274.15,[GGNPO203883],16,0
