City,SKU Name,SKU Code,EAN,SKU Category,SKU Sub Category,Brand Name,Manufacturer Name,Manufacturer ID,Units
Delhi,Jivo Cold Press Sunflower Cooking Oil 1.0 LITER,06c8f55b-13a5-4d9b-8990-a418e63c89ad,8908000258235,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,59
Chandigarh,Jivo Cold Press Sunflower Cooking Oil 1.0 LITER,06c8f55b-13a5-4d9b-8990-a418e63c89ad,8908000258235,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,2
Jaipur,Jivo Cold Press Sunflower Cooking Oil 1.0 LITER,06c8f55b-13a5-4d9b-8990-a418e63c89ad,8908000258235,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,30
Jalandhar,Jivo Cold Press Sunflower Cooking Oil 1.0 LITER,06c8f55b-13a5-4d9b-8990-a418e63c89ad,8908000258235,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,2
Faridabad,Jivo So-Olive Blend Of Rice Bran and Olive Oil 1.0 LITER,dc9c5857-5d89-45c7-895a-373097239ff7,8905604002080,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,21
Bengaluru,Jivo So-Olive Blend Of Rice Bran and Olive Oil 1.0 LITER,dc9c5857-5d89-45c7-895a-373097239ff7,8905604002080,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,178
Ghaziabad,Jivo So-Olive Blend Of Rice Bran and Olive Oil 1.0 LITER,dc9c5857-5d89-45c7-895a-373097239ff7,8905604002080,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,12
Mumbai,Jivo So-Olive Blend Of Rice Bran and Olive Oil 1.0 LITER,dc9c5857-5d89-45c7-895a-373097239ff7,8905604002080,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,15
Bengaluru,Jivo Rice Bran Daily Cooking Oil 5.0 LITER,fddcd552-ffa1-4fae-adc8-2e098107f691,8905604002066,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,1
Bengaluru,Jivo Extra Virgin Cooking Olive Oil 5.0 LITER,c80ef4de-b2c3-4fb4-984b-4cb29b33db33,8905604000000,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,4
Surat,Jivo Extra Virgin Cooking Olive Oil 5.0 LITER,c80ef4de-b2c3-4fb4-984b-4cb29b33db33,8905604000000,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,1
Mumbai,Jivo Extra Virgin Cooking Olive Oil 5.0 LITER,c80ef4de-b2c3-4fb4-984b-4cb29b33db33,8905604000000,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,29
Delhi,Jivo Extra Virgin Cooking Olive Oil 5.0 LITER,c80ef4de-b2c3-4fb4-984b-4cb29b33db33,8905604000000,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,4
Gurugram,Jivo Extra Virgin Cooking Olive Oil 5.0 LITER,c80ef4de-b2c3-4fb4-984b-4cb29b33db33,8905604000000,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,5
Karnal,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,3
Ghaziabad,Jivo Cold Press Groundnut Cooking Oil 1.0 LITER,41367ef4-80d9-4819-bbae-d1806c184f5c,8905604001199,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,19
Delhi,Jivo Cold Press Groundnut Cooking Oil 1.0 LITER,41367ef4-80d9-4819-bbae-d1806c184f5c,8905604001199,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,39
Ludhiana,Jivo Gold Refined Oil Blend Of Rice Bran Oil and Sunflower Oil 1.0 LITER,bc1af3d1-2a14-4296-b38e-e05ba43c3170,8905604001076,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,1
Indore,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,1
Mumbai,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,127
Rewari,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,1
Prayagraj,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,10
Gorakhpur,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,3
Delhi,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,86
Bareilly,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,1
Amritsar,Jivo Cold Press Groundnut Cooking Oil 1.0 LITER,41367ef4-80d9-4819-bbae-d1806c184f5c,8905604001199,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,1
Nagpur,Jivo Cold Press Groundnut Cooking Oil 1.0 LITER,41367ef4-80d9-4819-bbae-d1806c184f5c,8905604001199,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,2
SAS Nagar,Jivo Cold Press Groundnut Cooking Oil 1.0 LITER,41367ef4-80d9-4819-bbae-d1806c184f5c,8905604001199,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,15
Bengaluru,Jivo Cold Press Groundnut Cooking Oil 1.0 LITER,41367ef4-80d9-4819-bbae-d1806c184f5c,8905604001199,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,134
Ghaziabad,Jivo Gold Refined Oil Blend Of Rice Bran Oil and Sunflower Oil 1.0 LITER,bc1af3d1-2a14-4296-b38e-e05ba43c3170,8905604001076,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,2
Kanpur,Jivo Cold Press Groundnut Cooking Oil 1.0 LITER,41367ef4-80d9-4819-bbae-d1806c184f5c,8905604001199,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,13
Faridabad,Jivo Gold Refined Oil Blend Of Rice Bran Oil and Sunflower Oil 1.0 LITER,bc1af3d1-2a14-4296-b38e-e05ba43c3170,8905604001076,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,6
Jhajjar,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,8
SAS Nagar,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,17
Dehradun,Jivo Cold Press Sunflower Cooking Oil 1.0 LITER,06c8f55b-13a5-4d9b-8990-a418e63c89ad,8908000258235,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,6
Amritsar,Jivo Cold Press Sunflower Cooking Oil 1.0 LITER,06c8f55b-13a5-4d9b-8990-a418e63c89ad,8908000258235,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,1
Ludhiana,Jivo Cold Press Sunflower Cooking Oil 1.0 LITER,06c8f55b-13a5-4d9b-8990-a418e63c89ad,8908000258235,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,2
Kanpur,Jivo Cold Press Sunflower Cooking Oil 1.0 LITER,06c8f55b-13a5-4d9b-8990-a418e63c89ad,8908000258235,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,12
Lucknow,Jivo Cold Press Sunflower Cooking Oil 1.0 LITER,06c8f55b-13a5-4d9b-8990-a418e63c89ad,8908000258235,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,34
Chennai,Jivo So-Olive Blend Of Rice Bran and Olive Oil 1.0 LITER,dc9c5857-5d89-45c7-895a-373097239ff7,8905604002080,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,5
Dehradun,Jivo So-Olive Blend Of Rice Bran and Olive Oil 1.0 LITER,dc9c5857-5d89-45c7-895a-373097239ff7,8905604002080,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,5
Nashik,Jivo So-Olive Blend Of Rice Bran and Olive Oil 1.0 LITER,dc9c5857-5d89-45c7-895a-373097239ff7,8905604002080,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,1
Kochi,Jivo Extra Virgin Cooking Olive Oil 5.0 LITER,c80ef4de-b2c3-4fb4-984b-4cb29b33db33,8905604000000,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,2
Hyderabad,Jivo Extra Virgin Cooking Olive Oil 5.0 LITER,c80ef4de-b2c3-4fb4-984b-4cb29b33db33,8905604000000,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,14
SAS Nagar,Jivo Extra Virgin Cooking Olive Oil 5.0 LITER,c80ef4de-b2c3-4fb4-984b-4cb29b33db33,8905604000000,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,4
Chandigarh,Jivo Cold Press Groundnut Cooking Oil 1.0 LITER,41367ef4-80d9-4819-bbae-d1806c184f5c,8905604001199,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,2
Sonipat,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,1
Dehradun,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,12
Lucknow,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,18
Gurugram,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,96
Patiala,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,2
Gurugram,Jivo Cold Press Groundnut Cooking Oil 1.0 LITER,41367ef4-80d9-4819-bbae-d1806c184f5c,8905604001199,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,140
Kochi,Jivo Cold Press Groundnut Cooking Oil 5.0 LITER,e52f63d4-19cb-4e2b-8de1-a777162eeb3b,8905604001168,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,2
Hyderabad,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,22
Jalandhar,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,8
Varanasi,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,3
Bhiwadi,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,2
Guntur,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,2
Mumbai,Jivo Gold Refined Oil Blend Of Rice Bran Oil and Sunflower Oil 1.0 LITER,bc1af3d1-2a14-4296-b38e-e05ba43c3170,8905604001076,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,9
Delhi,Jivo Gold Refined Oil Blend Of Rice Bran Oil and Sunflower Oil 1.0 LITER,bc1af3d1-2a14-4296-b38e-e05ba43c3170,8905604001076,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,4
Bengaluru,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,271
Kolkata,Jivo Extra Virgin Olive Oil | Bottle 1.0 LITER,5d186472-6fe2-4643-af2f-2f9cd773986d,8908000258723,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,1
Ghaziabad,Jivo Cold Press Sunflower Cooking Oil 1.0 LITER,06c8f55b-13a5-4d9b-8990-a418e63c89ad,8908000258235,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,2
Bengaluru,Jivo Cold Press Sunflower Cooking Oil 1.0 LITER,06c8f55b-13a5-4d9b-8990-a418e63c89ad,8908000258235,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,310
Hyderabad,Jivo So-Olive Blend Of Rice Bran and Olive Oil 1.0 LITER,dc9c5857-5d89-45c7-895a-373097239ff7,8905604002080,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,1
Agra,Jivo So-Olive Blend Of Rice Bran and Olive Oil 1.0 LITER,dc9c5857-5d89-45c7-895a-373097239ff7,8905604002080,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,1
Noida,Jivo So-Olive Blend Of Rice Bran and Olive Oil 1.0 LITER,dc9c5857-5d89-45c7-895a-373097239ff7,8905604002080,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,19
Jhajjar,Jivo So-Olive Blend Of Rice Bran and Olive Oil 1.0 LITER,dc9c5857-5d89-45c7-895a-373097239ff7,8905604002080,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,2
Chennai,Jivo Mustard oil Tin 15.0 LITER,f0a1ac3e-3c19-4701-a378-f89de69514e2,8908000258303,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,11
Faridabad,Jivo Extra Virgin Cooking Olive Oil 5.0 LITER,c80ef4de-b2c3-4fb4-984b-4cb29b33db33,8905604000000,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,1
Ghaziabad,Jivo Extra Virgin Cooking Olive Oil 5.0 LITER,c80ef4de-b2c3-4fb4-984b-4cb29b33db33,8905604000000,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,2
Pune,Jivo Extra Virgin Cooking Olive Oil 5.0 LITER,c80ef4de-b2c3-4fb4-984b-4cb29b33db33,8905604000000,"Atta, Rice, Oil & Dals",Oil,Jivo,Jivo Wellness Pvt. Ltd.,946950b7-1ce2-4bdf-a7c4-37499e3f5f34,19
